xmin,ymin,xmax,ymax,Object,predicted_label
68,22,328,70,tan woon yann,other
68,90,422,115,BooK TA K (TAMAN DAYA) SDN 8hD,other
205,119,289,138,7839417-W,other
108,140,382,163,"No.5: 55,57 & 49, JALAN SACU 18",other
188,164,302,187,TAMAN DaYA,address
160,188,336,211,811U0 JOHOR BAHRU;,address
213,213,275,232,JOHOR,other
50,341,157,361,Document Io,other
180,338,280,357,"TD0116,/104",other
51,373,87,390,Dale,other
160,368,346,391,"25/12/2018 813,39 PM",date
46,394,112,417,Cashier,other
160,392,220,415,HANIS,other
49,423,115,440,Menber,other
188,456,300,479,CASH BILL,other
27,505,125,524,cODF/UÉSC,other
197,503,249,522,PRIUI,other
275,507,309,522,"[""sc",other
375,507,445,522,AMt Jut/,other
66,528,106,551,QTY,other
221,527,249,546,Rt,other
417,529,447,546,RM,other
27,567,139,586,"95569 ,90*0116",item
156,564,400,587,GF HJÚDÉll (fG (LAY kIDDY FISH,item
87,595,113,614,PC,item
203,593,249,612,"91,(0)",item
287,595,311,612,00,item
409,595,447,612,9o0,item
243,639,285,658,Total,other
423,639,447,654,Uo,other
118,668,288,691,Rour 'jing Achustment,other
407,667,447,686,ooo,other
84,700,296,725,Round d Total (RM);,other
399,701,447,720,9.00,total
200,742,246,765,Cash,other
399,747,445,766,XUO,other
200,766,274,789,CHANGE,other
423,769,445,788,00,other
359,791,403,826,00,other
95,841,401,860,GOODS ZOL' aRE NỌT RE TURMAETT7il:,other
189,861,313,880,FXCHANGEABLE,other
201,941,295,958,TkANK YOU,other
161,959,323,978,PLEASE COr AGAT,other
