xmin,ymin,xmax,ymax,Object,predicted_label
42,40,124,89,M,other
201,22,414,50,cÔvG TI CỔ PHẢN JISA,other
203,47,365,64,MG ! thuẬ: 0101243250-104,other
205,69,251,84,Dia chi:,other
253,64,283,84,Iipe,other
295,67,567,84,"Technosof Duy Tin Ciu Giay, Hi *ồi Việ: Nam",other
39,87,269,102,TIN CẶY-TlệN ÍCH-TAN TINH Dier thoai:,other
205,107,279,122,S6 vli;,other
232,146,490,169,HÓAĐƠN GIÁ IRỊ GIA IANG,other
509,145,627,165,Xị hiệư IKZZIAB,other
287,173,371,188,"""2qy l; tang",item
379,171,437,186,nin 2622,item
511,167,595,184,S6: Oooooooo,other
39,217,137,232,Hc :2 neloi mu2,item
139,216,169,232,bans,item
171,217,233,232,~Bio42,item
41,234,169,252,Tin don vị Cón: t; Co,item
164,235,199,249,Phiz =,item
197,235,257,250,Mish Phat,item
39,253,357,272,"Dịa chi 34, duonz Nzuyen Lin; quịn Ihanu Xaan Hà Nệ:",item
39,273,175,288,ME v6 tue: 0100j00o2?,item
41,293,115,308,56 tai khoar,item
303,291,467,304,Hnk thi Z2htoan IMCK,item
39,309,111,328,52 bợp dors,item
313,311,357,324,{n don,item
41,331,87,346,Ten =u:,item
305,329,363,344,Qoctch,item
39,351,99,366,Ngir ẩen:,item
527,347,649,364,Dcrz fer thaxh toan:,item
45,387,73,402,STI,item
179,386,307,404,"Iez hàng hoa, dicb ru",item
411,387,443,402,ĐIT,item
473,387,509,403,Ivong,item
529,387,579,404,Đon !iả,item
607,385,673,402,Ibaul tiep,item
365,703,419,718,Ccnz 522,item
419,701,447,717,Lanz,item
41,721,139,736,Ile 22t GIGT:,item
365,723,459,738,Ife2 Zue GIGI,item
365,743,481,758,Iônz ter thazh toin,item
41,765,105,778,S6 2e2 !et,item
103,763,131,779,biaz,item
133,765,159,778,cr,item
117,795,177,810,Nzuoi mua,item
177,793,205,809,hap:,item
509,795,565,810,Yzuoi ban,item
565,794,593,809,bane,item
111,813,215,828,(Chiky 20 (Delco)),item
483,813,619,828,(CavvdisdvcbÈk !6),item
439,843,531,858,Signature Valid,item
437,859,533,878,Kỷ bởi: Cong r,item
547,861,617,876,phan MISA,item
439,881,557,896,Kypzay: 13/01 2021,item
35,915,297,930,Ina cúr tại Webeite: bttpe: melnvoice;2 ta-cuu,item
305,915,453,930,M2traciu; GEH[FSPSP,item
83,951,159,968,Pbar harh bởi,item
154,952,190,966,pbin =,item
187,951,293,968,Rim melnvoiceiz,item
235,933,519,952,"(cinkiim ta ẩỗ1 cheu Lhi liP, ?iac, rhin hoa đoz)",item
299,950,329,970,Con=,item
331,951,649,970,ụC6 phin MSA (unumuacomin) - MST: 0101243150,item
23,975,677,990,RRRRRRERREEREEEREEEEEEEEEEEEEEEEEEREERE,item
